,equipment_id,station_id,station_name,serial_number,start_time,end_time,part_family,part_id
6953,4,6,1,2541,2024-04-03 02:25:20.900,2024-04-03 02:25:20.901,6,1c9fbd0f-c174-4bed-b6e0-ccb2c1d62dc9
6954,6,2,2,1729,2024-04-04 14:16:14.009,2024-04-04 14:16:51.272,1,3e8157ed-26f9-42f4-9033-776244181b20
6955,4,6,1,1727,2024-04-04 14:16:28.770,2024-04-04 14:16:52.653,1,73634cc9-ff6d-4397-af92-76b90ca04057
6956,6,2,2,1728,2024-04-04 14:17:09.648,2024-04-04 14:17:46.306,1,ea26024d-b332-482a-9bbd-c32debd006c2
6957,4,6,1,1728,2024-04-04 14:08:36.323,2024-04-04 14:08:59.965,1,ea26024d-b332-482a-9bbd-c32debd006c2
6958,4,6,1,1715,2024-04-04 14:17:24.983,2024-04-04 14:17:47.711,1,9d288447-59da-4f3d-88fb-d9babdff8267
6959,1,1,0,1731,2024-04-04 14:16:29.308,2024-04-04 14:18:06.774,1,755faf39-b81f-4867-921b-14267da5c9eb
6960,6,2,2,1727,2024-04-04 14:18:04.739,2024-04-04 14:18:41.626,1,73634cc9-ff6d-4397-af92-76b90ca04057
6961,4,6,1,1717,2024-04-04 14:18:20.097,2024-04-04 14:18:43.581,1,f7ea3f05-431c-4e77-8215-767fc49079c3
6962,2,3,0,1733,2024-04-04 14:08:15.558,2024-04-04 14:09:52.592,1,33b3086f-03ee-43dc-9f1f-f61007d2ac32
6963,4,6,1,2541,2024-04-03 02:40:32.470,2024-04-03 02:40:32.471,6,89dcbfb4-9c7c-40ee-a67d-b958ddc062a6
6964,2,3,0,1730,2024-04-04 14:17:14.555,2024-04-04 14:19:09.285,1,be2f7a74-c0c3-4688-a89d-a7399dc29ed0
6965,0,5,0,1732,2024-04-04 14:16:07.291,2024-04-04 14:19:31.995,1,1ef12926-eae7-4762-af6c-59dce6a1854b
6966,3,0,0,1729,2024-04-04 14:17:58.524,2024-04-04 14:19:32.274,1,f2305ab1-a2eb-4bc2-9731-78211421a6cb
6967,6,2,2,1715,2024-04-04 14:18:59.932,2024-04-04 14:19:37.341,1,9d288447-59da-4f3d-88fb-d9babdff8267
6968,6,2,2,2541,2024-04-03 02:43:16.258,2024-04-03 02:43:16.290,6,89dcbfb4-9c7c-40ee-a67d-b958ddc062a6
6969,4,6,1,1718,2024-04-04 14:19:14.819,2024-04-04 14:19:37.461,1,598904b0-4aba-4649-a358-54f008da8356
6970,6,2,2,1717,2024-04-04 14:19:58.593,2024-04-04 14:20:35.418,1,f7ea3f05-431c-4e77-8215-767fc49079c3
6971,4,6,1,1720,2024-04-04 14:20:14.039,2024-04-04 14:20:37.308,1,ba48133a-3de7-4880-95f3-8e7bb325a835
6972,1,1,0,1728,2024-04-04 14:19:11.314,2024-04-04 14:20:52.235,1,31e1d25b-5161-4d3d-8930-ee0b6c5ff718
6973,4,6,1,1741,2024-04-04 14:29:02.791,2024-04-04 14:29:26.348,1,e1da163f-a4d8-40fa-a4e8-4ee600009973
6974,6,2,2,1718,2024-04-04 14:23:04.533,2024-04-04 14:23:41.627,1,598904b0-4aba-4649-a358-54f008da8356
6975,4,6,1,1721,2024-04-04 14:23:19.696,2024-04-04 14:23:43.395,1,45e431dd-8a2a-4e7c-a115-a05d773bda5e
6976,6,2,2,1720,2024-04-04 14:23:59.664,2024-04-04 14:24:36.212,1,ba48133a-3de7-4880-95f3-8e7bb325a835
6977,4,6,1,1722,2024-04-04 14:24:14.828,2024-04-04 14:24:38.353,1,463275b8-d139-482c-ab8d-bc5eca4122ad
6978,0,5,0,1727,2024-04-04 14:22:58.949,2024-04-04 14:24:41.168,1,01f5a629-725d-497a-92e2-92ad517e7cf2
6979,1,1,0,1715,2024-04-04 14:23:21.246,2024-04-04 14:24:56.800,1,752310b8-97b3-4da8-ab02-ac0f4a66c2cd
6980,6,2,2,1740,2024-04-04 14:29:42.581,2024-04-04 14:30:19.513,1,f51df1a1-2a5f-4cf9-bd0c-78e411a96a82
6981,4,6,1,1742,2024-04-04 14:29:57.461,2024-04-04 14:30:21.250,1,76c85dee-aa72-4727-89ee-efa69060c302
6982,0,5,0,1720,2024-04-04 14:28:42.061,2024-04-04 14:30:31.666,1,89966da6-382b-4492-9125-e3565459c1a5
6983,6,2,2,1741,2024-04-04 14:30:38.746,2024-04-04 14:31:15.875,1,e1da163f-a4d8-40fa-a4e8-4ee600009973
6984,4,6,1,1743,2024-04-04 14:30:53.678,2024-04-04 14:31:16.228,1,0ae4a29b-e898-4508-9a06-e9d313096b26
6985,1,1,0,1721,2024-04-04 14:29:05.290,2024-04-04 14:31:29.363,1,7847e030-bf87-49ae-ac30-4c5ca31589fa
6986,2,3,0,1722,2024-04-04 14:29:49.558,2024-04-04 14:31:58.922,1,2ed74eb9-2711-48ca-ab1c-f2c97e0e7e99
6987,6,2,2,1742,2024-04-04 14:31:34.393,2024-04-04 14:32:12.037,1,76c85dee-aa72-4727-89ee-efa69060c302
6988,4,6,1,1744,2024-04-04 14:31:49.390,2024-04-04 14:32:12.987,1,a7231629-06e4-4834-9de5-9a29557b27f8
6989,6,2,2,1743,2024-04-04 14:32:30.547,2024-04-04 14:33:07.209,1,0ae4a29b-e898-4508-9a06-e9d313096b26
6990,4,6,1,1751,2024-04-04 14:32:45.543,2024-04-04 14:33:08.604,1,7403f8ac-57a6-47d0-9bac-a16d30f6f6ed
6991,0,5,0,1740,2024-04-04 14:31:39.984,2024-04-04 14:33:17.835,1,227dddb8-6b53-462e-b3f0-7c94ada07d2a
6992,4,6,1,1752,2024-04-04 14:34:03.321,2024-04-04 14:34:26.951,1,373f011e-808a-429d-9c1a-37337c432166
